naam,invalshoeken,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,fotocontrole CP,fotocontrole,beelden klaar,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,Italiaans postmodernisme,1990-0062_1-4,niet-publiek,ok,,,,ok,1990-0062_1-4,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0062_2-4,niet-publiek,ok,,,,ok,1990-0062_2-4,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0062_3-4,niet-publiek,ok,,,,ok,1990-0062_3-4$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0062_4-4,niet-publiek,ok,,,,ok,1990-0062_4-4,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0063,publiek,ok,,,,ok,1990-0063,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2022-09-22,ok 2022-09-22,,
Ianthe,Italiaans postmodernisme,1990-0070,publiek,ok,,,,ok,1990-0070,"Zanini, Marco*Memphis",ok,Marco Zanini,ok 2024-06-07,ok 2024-06-07,,
Ianthe,Italiaans postmodernisme,1990-0071,publiek,ok,,,,ok,1990-0071,"Sottsass, Ettore (junior)*Memphis",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,1990-0073,publiek,ok,,,,ok,1990-0073$2,"Du Pasquier, Nathalie*Memphis*Copi",ok,Nathalie Du Pasquier,ok 2022-05-09,ok 2022-05-09,,
Ianthe,Italiaans postmodernisme,1990-0074,publiek,ok,,,,ok,1990-0074$2,"Sowden, George James*Memphis*Copi",ok,George James Sowden,ok 2022-05-09,ok 2022-05-09,,
Ianthe,Italiaans postmodernisme,1990-0075,publiek,ok,,,,ok,1990-0075$2,"Sowden, George James*Memphis*Copi",ok,George James Sowden,ok 2022-05-09,ok 2022-05-09,,
Ianthe,Italiaans postmodernisme,1990-0076,publiek,ok,,,,ok,1990-0076$2,"Du Pasquier, Nathalie*Memphis*Copi",ok,Nathalie Du Pasquier,ok 2022-05-09,ok 2022-05-09,,
Ianthe,Italiaans postmodernisme,1995-0032,publiek,ok,,,photoshoppen; ok,ok,1995-0032$2,"De Lucchi, Michele*Memphis",ok,Michele De Lucchi,ok 2022-05-31,ok 2022-05-31,,
Ianthe,Italiaans postmodernisme,1997-0037_0-2,publiek,ok,,,,ok,1997-0037_0-2,"Cibic, Aldo*Standard",ok,Aldo Cibic,ok 2022-09-22,ok 2022-09-22,,
Ianthe,Italiaans postmodernisme,1997-0037_1-2,niet-publiek,ok,,,,ok,1997-0037_1-2,"Cibic, Aldo*Standard",ok,Aldo Cibic,ok 2023-07-07,nvt,,
