,object_number,rights,attribution
247,0225,CC0 1.0,
248,0226,Copyright Status Not Evaluated,
249,0227,CC0 1.0,
250,0228,CC0 1.0,
251,0229,CC0 1.0,
252,0230,CC0 1.0,
253,0231,CC0 1.0,
254,0232,CC0 1.0,
255,0233,CC0 1.0,
256,0234,CC0 1.0,
257,0235,CC0 1.0,
258,0236,CC0 1.0,
259,0237,CC0 1.0,
260,0238,CC0 1.0,
261,0239,CC0 1.0,
262,0240,CC0 1.0,
263,0242_0-2,Copyright Status Not Evaluated,
264,0242_1-2,Copyright Status Not Evaluated,
265,0242_2-2,Copyright Status Not Evaluated,
266,0243,CC0 1.0,
267,0244,CC0 1.0,
268,0245,CC0 1.0,
269,0246,CC0 1.0,
270,0247,CC0 1.0,
271,0248,CC0 1.0,
272,0249,CC0 1.0,
273,0250,CC0 1.0,
274,0251,CC0 1.0,
275,0252,CC0 1.0,
276,0253,CC0 1.0,
277,0254,CC0 1.0,
278,0255,CC0 1.0,
279,0256,CC0 1.0,
280,0257,CC0 1.0,
281,0258,CC0 1.0,
282,0259,CC0 1.0,
283,0260,CC0 1.0,
284,0261,CC0 1.0,
285,0262,CC0 1.0,
286,0263,CC0 1.0,
287,0264,CC0 1.0,
288,0265,CC0 1.0,
289,0266,CC0 1.0,
290,0267,CC0 1.0,
291,0268,CC0 1.0,
292,0269,CC0 1.0,
293,0270,CC0 1.0,
294,0271,CC0 1.0,
295,0272,CC0 1.0,
296,0273,CC0 1.0,
297,0274,CC0 1.0,
298,0275,CC0 1.0,
299,0276,CC0 1.0,
300,0277,Copyright Status Not Evaluated,
301,0278,CC0 1.0,
302,0279,CC0 1.0,
303,0280,CC0 1.0,
304,0281,CC0 1.0,
305,0282,CC0 1.0,
306,0283,CC0 1.0,
307,0284,CC0 1.0,
308,0285,CC0 1.0,
309,0286,CC0 1.0,
310,0287,CC0 1.0,
311,0288,CC0 1.0,
312,0289,CC0 1.0,
313,0290,CC0 1.0,
314,0291,CC0 1.0,
315,0292,CC0 1.0,
316,0293,CC0 1.0,
317,0294,CC0 1.0,
318,0295,CC0 1.0,
319,0296,CC0 1.0,
320,0298,CC0 1.0,
321,0299,CC0 1.0,
322,0300,CC0 1.0,
323,0301,CC0 1.0,
324,0302,CC0 1.0,
325,0303,CC0 1.0,
326,0304,CC0 1.0,
327,0305,CC0 1.0,
328,0306,CC0 1.0,
329,0307,CC0 1.0,
330,0308,CC0 1.0,
331,0309,CC0 1.0,
332,0310,CC0 1.0,
333,0311,CC0 1.0,
334,0312,CC0 1.0,
335,0313,CC0 1.0,
336,0314,CC0 1.0,
337,0315,CC0 1.0,
338,0316,CC0 1.0,
339,0317,CC0 1.0,
340,0318,CC0 1.0,
341,0319,CC0 1.0,
342,0320,CC0 1.0,
343,0321,CC0 1.0,
344,0322,CC0 1.0,
345,0323,CC0 1.0,
346,0324,CC0 1.0,
347,0325,CC0 1.0,
348,0326,CC0 1.0,
349,0327,CC0 1.0,
350,0328,Copyright Status Not Evaluated,
351,0329,CC0 1.0,
352,0330,CC0 1.0,
353,0331,CC0 1.0,
354,0332,CC0 1.0,
355,0333,CC0 1.0,
